Cruise,Station,Type,Time_Stamp,Latitude,Longitude,Bottom_Z,CruiseCN,SCN,CampCN,Niskin,Cast_Type,Target_Z,Pressure,Density00,Density11,Sal11,SoundVel,SoundVel1,Oxygen_uM,Oxygen_V,Temperature,Temperature1,Conductivity,Conductivity1,BeamT,BeamAt,Fluorescence,Turbidity,UVP5,TOC,TOC_QF,TOC_sd,DOC,DOC_QF,DOC_sd,TDN,TDN_QF,TDN_sd,BactProd,BactProd_QF,BactProd_sd,BactAbund,BactAbund_QF,BactAbund_sd,TDAA,TDAA_QF,TDAA_sd,Asp,Glu,His,Ser,Arg,Thr,Gly,Tau,Bala,Tyr,Ala,GABA,Met,Val,Phe,Ile,Leu,Lys
AT38,1,B,2017-09-05T03:07,42.381,-42.882,-999,3,2,75,18,Biology,5,7.423,1025.3962,1025.3978,36.4136,1527.85,1527.86,-999,2.4143,21.7373,21.7397,5.147293,5.147903,97.8662,-999,0.1075,0.0631,6.0945379,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-05T03:07,42.381,-42.882,-999,3,2,75,17,Biology,5,7.787,1025.3977,1025.3994,36.4126,1527.86,1527.86,-999,2.4159,21.7381,21.7369,5.147411,5.147511,97.8738,-999,0.1066,0.0616,6.0945379,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-05T03:07,42.381,-42.882,-999,3,2,75,16,Biology,5,7.333,1025.395,1025.3971,36.414,1527.88,1527.87,-999,2.417,21.7453,21.742,5.148375,5.14821,97.8755,-999,0.1146,0.0643,6.0895542,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-05T03:07,42.381,-42.882,-999,3,2,75,15,Biology,5,7.244,1025.3942,1025.3956,36.4152,1527.89,1527.89,-999,2.4193,21.7495,21.7491,5.148937,5.149112,97.8847,-999,0.0971,0.0586,6.0795869,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-05T03:07,42.381,-42.882,-999,3,2,75,14,Biology,27,28.014,1025.4991,1025.5009,36.4069,1528.03,1528.02,-999,2.4098,21.6744,21.6724,5.140863,5.140843,97.8923,-999,0.1335,0.0676,6.0995216,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-05T03:07,42.381,-42.882,-999,3,2,75,13,Biology,27,27.917,1025.4989,1025.5005,36.4069,1528.02,1528.02,-999,2.4081,21.6732,21.672,5.140716,5.140791,97.8499,-999,0.1302,0.0615,6.0995216,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-05T03:07,42.381,-42.882,-999,3,2,75,12,Biology,27,27.849,1025.4989,1025.5009,36.4068,1528.02,1528.01,-999,2.4102,21.6717,21.6696,5.140529,5.140536,97.9211,-999,0.1148,0.0693,6.0945379,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-05T03:07,42.381,-42.882,-999,3,2,75,11,Biology,27,28.193,1025.5012,1025.5024,36.4065,1528.02,1528.02,-999,2.4085,21.6693,21.6686,5.140309,5.140398,97.9455,-999,0.1217,0.065,6.0895542,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-05T03:07,42.381,-42.882,-999,3,2,75,10,Biology,27,27.808,1025.5014,1025.5031,36.4067,1527.99,1527.99,-999,2.4119,21.6626,21.6608,5.139581,5.139588,97.9042,-999,0.1393,0.0561,6.1045053,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-05T03:07,42.381,-42.882,-999,3,2,75,9,Biology,27,28.003,1025.5021,1025.5038,36.4068,1528,1527.99,-999,2.4112,21.6633,21.6615,5.139666,5.139675,97.9102,-999,0.1236,0.0617,6.1045053,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-05T03:07,42.381,-42.882,-999,3,2,75,8,Biology,27,27.876,1025.5014,1025.5024,36.4057,1528,1527.99,-999,2.4119,21.6633,21.6616,5.139652,5.13955,97.9151,-999,0.1212,0.0658,6.1094889,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-05T03:07,42.381,-42.882,-999,3,2,75,7,Biology,74,75.048,1026.8217,1026.8237,36.4473,1517.35,1517.34,-999,2.2528,17.545,17.5416,4.714637,4.714458,98.1017,-999,0.8511,0.0724,6.1094889,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-05T03:07,42.381,-42.882,-999,3,2,75,6,Biology,74,75.329,1026.8242,1026.8253,36.4479,1517.34,1517.35,-999,2.2553,17.5405,17.5416,4.714207,4.714537,98.1088,-999,0.7913,0.0632,6.1094889,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-05T03:07,42.381,-42.882,-999,3,2,75,5,Biology,74,75.036,1026.8223,1026.8238,36.4477,1517.34,1517.34,-999,2.2533,17.5424,17.5421,4.714368,4.714552,98.1039,-999,0.8091,0.0756,6.1493584,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-05T03:07,42.381,-42.882,-999,3,2,75,4,Biology,74,75.209,1026.8232,1026.8253,36.448,1517.34,1517.34,-999,2.2545,17.5419,17.5403,4.714331,4.714411,98.1327,-999,0.8818,0.0655,6.12444,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-05T03:07,42.381,-42.882,-999,3,2,75,3,Biology,74,74.908,1026.8211,1026.8225,36.4478,1517.35,1517.35,-999,2.2567,17.5451,17.5452,4.71465,4.714874,98.0947,-999,0.7899,0.0712,6.1443747,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-05T03:07,42.381,-42.882,-999,3,2,75,2,Biology,74,75.565,1026.8249,1026.8271,36.4479,1517.35,1517.34,-999,2.2556,17.5415,17.5386,4.714321,4.714237,98.1044,-999,0.895,0.0722,6.12444,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-05T03:07,42.381,-42.882,-999,3,2,75,1,Biology,200,202.162,1027.4758,1027.4777,36.3564,1517.32,1517.32,-999,2.1725,16.8614,16.8593,4.639351,4.63933,99.0033,-999,-0.0427,0.0576,6.1344073,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-05T04:53,42.391,-42.852,-999,4,3,76,24,Biology,5,5.655,1025.3556,1025.3578,36.4135,1528.14,1528.14,-999,2.4136,21.8567,21.8547,5.159979,5.160041,97.863,-999,0.1003,0.064,6.1443747,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-05T04:53,42.391,-42.852,-999,4,3,76,23,Biology,5,6.081,1025.3571,1025.3593,36.4135,1528.15,1528.15,-999,2.4118,21.8576,21.8557,5.160083,5.160171,97.9004,-999,0.0995,0.066,6.1593257,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-05T04:53,42.391,-42.852,-999,4,3,76,22,Biology,5,6.156,1025.3572,1025.3595,36.4135,1528.15,1528.15,-999,2.412,21.8583,21.8565,5.160152,5.160263,97.8961,-999,0.0872,0.0591,6.1643094,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-05T04:53,42.391,-42.852,-999,4,3,76,21,Biology,5,6.002,1025.3565,1025.3587,36.4134,1528.15,1528.15,-999,2.4145,21.8584,21.8563,5.160159,5.160206,97.8917,-999,0.1075,0.0643,6.1593257,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
